,0,1,2
300,Len Mccluskey,Tony Blair,197
301,Andy Burnham,Sajid Javid,197
302,Chuka Umunna,Jeremy Corbyn,196
303,Caroline Flint,Chuka Umunna,195
304,Jeremy Corbyn,Sinn Fein Martin Mcguinness,193
305,Len Mccluskey,Sinn Fein Martin Mcguinness,193
306,Margaret Beckett,Mary Creagh,193
307,Ed Miliband,Michael Fallon,193
308,Alastair Campbell,David Cameron,192
309,Dan Jarvis,Mary Creagh,191
310,Blairite Liz Kendall,Yvette Cooper,191
311,Neil Kinnock,Yvette Cooper,191
312,Liz Kendall,Nick Clegg,190
313,Ian Kennedy,Yvette Cooper,190
314,Andy Burnham,Nigel Edwards,190
315,Hilary Benn,Jeremy Corbyn,189
316,Alastair Campbell,Harriet Harman,189
317,Mary Creagh,Tom Watson,189
318,Andy Burnham,Ian Kennedy,188
319,Alan Johnson,Dan Jarvis,187
320,Ian Kennedy,Liz Kendall,187
321,Jeremy Corbyn,Stella Creasy,187
322,Douglas Alexander,Liz Kendall,187
323,Ben Bradshaw,Caroline Flint,186
324,Caroline Flint,Mary Creagh,186
325,Andy Burnham,Iain Duncan Smith,186
326,Chris Leslie,Harriet Harman,186
327,George Osborne,Iain Duncan Smith,186
328,Blairite Liz Kendall,Ed Miliband,185
329,Len Mccluskey,Sam Fairbairn,184
330,Andy Burnham,Nick Clegg,183
331,Mary Creagh,Rachel Reeves,183
332,Diane Abbott,Tessa Jowell,183
333,Sajid Javid,Yvette Cooper,183
334,Ben Bradshaw,Liz Kendall,183
335,Diane Abbott,Mary Creagh,182
336,Greg Davies,Liz Kendall,180
337,David Lammy,Sadiq Khan,180
338,Chuka Umunna,Hilary Benn,179
339,David Cameron,Tessa Jowell,178
340,David Cameron,David Lammy,177
341,Ed Miliband,Helen Goodman,177
342,Alan Johnson,Andy Burnham,176
343,Andy Burnham,Bruce Keogh,176
344,Hilary Benn,Margaret Hodge,176
345,David Lammy,Diane Abbott,176
346,Sam Fairbairn,Sinn Fein Martin Mcguinness,175
347,Douglas Alexander,Hilary Benn,175
348,David Cameron,Ian Kennedy,175
349,Hilary Benn,Vernon Coaker,174
350,David Lammy,Jeremy Corbyn,174
351,Chris Leslie,Hilary Benn,174
352,Alastair Campbell,Gordon Brown,174
353,David Cameron,Nigel Edwards,173
354,Jeremy Corbyn,Tessa Jowell,173
355,David Miliband,Douglas Alexander,172
356,Andy Burnham,Neil Kinnock,172
357,Bruce Keogh,David Cameron,170
358,Gordon Brown,Stella Creasy,169
359,Caroline Lucas,Len Mccluskey,169
360,Chris Leslie,Douglas Alexander,169
361,Gordon Brown,Jim Murphy,169
362,Jeremy Corbyn,Kate Hudson,167
363,Kate Hudson,Len Mccluskey,167
364,David Cameron,Vernon Coaker,167
365,Bruce Keogh,Nigel Edwards,166
366,Ian Kennedy,Nicky Morgan,166
367,John Healey,Yvette Cooper,166
368,Alex Salmond,David Cameron,166
369,Alex Salmond,Yvette Cooper,166
370,Diane Abbott,Sadiq Khan,166
371,David Cameron,Queen Elizabeth,165
372,Sadiq Khan,Tessa Jowell,165
373,Andy Burnham,John Healey,165
374,Caroline Flint,Jeremy Corbyn,165
375,Jeremy Corbyn,Margaret Thatcher,165
376,Caroline Lucas,Sam Fairbairn,164
377,Harriet Harman,Rachel Reeves,164
378,Alastair Campbell,Dan Jarvis,164
379,Margaret Hodge,Vernon Coaker,164
380,Kate Hudson,Sinn Fein Martin Mcguinness,164
381,John Healey,Liz Kendall,164
382,Alan Johnson,David Cameron,163
383,Ed Miliband,John Healey,162
384,David Miliband,Hilary Benn,162
385,Andy Burnham,Stella Creasy Walthamstow,162
386,Ben Bradshaw,Ed Miliband,161
387,Hilary Benn,Stella Creasy,161
388,Margaret Hodge,Stella Creasy Walthamstow,161
389,Kate Hudson,Sam Fairbairn,161
390,Hilary Benn,Stella Creasy Walthamstow,161
391,Stella Creasy Walthamstow,Vernon Coaker,161
392,Ed Miliband,Stella Creasy Walthamstow,161
393,Jeremy Corbyn,Stella Creasy Walthamstow,161
394,Nick Clegg,Tim Farron,161
395,Stella Creasy Walthamstow,Yvette Cooper,161
396,Liz Kendall,Stella Creasy Walthamstow,161
397,Douglas Alexander,Stella Creasy,160
398,Liz Kendall,Rushanara Ali Bethnal,160
399,Andy Burnham,Rushanara Ali Bethnal,160
